seogii@seogii-Samsung-DeskTop-System:~/source_git/CSAPI_SAMPLE/Tizen-CSharp-Samples/Mobile/Accounts$ ./check_style.sh SampleAccount
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:51: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:65: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:66: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:67: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:68: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:69: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:75: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:82: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:87: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:90: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:96: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:97: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:98: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:99: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:102: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:103: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:104: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:105: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:108: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:109: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:110: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:111: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:112: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:115: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:116: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:117: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:118: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:119: WARNING: [LNE_R_TWS]trailing whitespace
total: 0 errors, 56 warnings, 122 lines checked
total: 0 errors, 0 warnings, 17 lines checked
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:1: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:2: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:3: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:4: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:5: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:6: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:7: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:8: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:9: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:10: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:11: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:12: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:13: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:14: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:29: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:30: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:31: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:35: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:36: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:37: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignOut.xaml.cs:40: WARNING: [LNE_R_TWS]trailing whitespace
